translit,pos,english,logograms,cuneiform,freq
qabû,AJ,said; made; recommended; spoken,E,𒂊,62
suppû,V,pray; praying; beseech,,,62
wēdu,N,single one; lone star; asafoetida,,,62
yâši,IP,to me,,,62
šaqālu,V,weigh; be paid; have the same longitude; pay; weighing; suspending,,,62
šūkulu,AJ,fed; given to eat,,,62
ana muhhi,PRP,in addition to; alongside; at; concerning; over; to,,,61
bašāmu,V,"create, form; to be created; create; establish; form; creating; allocate; be created",,,61
enenna,AV,now,,,61
gulgullu,N,skull; skull(-shaped vessel),,,61
hamšu,AJ,fifth; snapped off; snapped-off; deformed,,,61
issu,N,woman; wife,,,61
kamû,V,bind; be bound; conquer; binding; capture; gather,,,61
munnabtu,N,runaway; fugitive,,,61
muātu,V,die; death; make kill,,,61
mê,N,water; wooden water ornament,,,61
naklu,AJ,skilful; be(come) planned; elaborate; clever,,,61
nasāku,V,throw (down); prostrate; cast (away); discard; throwing down; clearing; throwing (down); abandon,,,61
parsu,AJ,cut off; definite; separated; blocked; decided; divided; private; resolute,,,61
sunqu,N,famine; distress,,,61
tenû,AJ,slanted sign,,,61
wēdu,AJ,single; sole one; sole; (a medicinal plant); alone; solitary; only,DILI,,61
ṭūru,N,opopanax; opopanax?; (a medicinal plant); (medicinal plant perhaps) opopanax,HAB,,61
agāgu,V,be(come) furious; be(com)ing furious; to be(come) furious; getting angry,,,60
ekletu,N,darkness,,,60
giqû,N,the sign GI,,,60
hepû,AJ,broken; halved; destroyed; ruined,,,60
imbaru,N,fog; fine drizzle; mist,IM.DUGUD,𒅎𒂂,60
kilallān,IP,both,,,60
kunāšu,N,emmer,IMGAGA,,60
malāku,V,discuss; confer; consult; advise; give advice; taking counsel; advising; discussing,,,60
maṭû,AJ,small; decreasing; decreased; insufficient; lacking; subtracted; deteriorating; less,LAL,𒇲,60
muštarhu,N,presumptuous one; noble one,,,60
nahāsu,V,(re)cede; move lower; retrograde; be turned back; retching?; sob; to sob; retreat,GUR,𒄥,60
parāku,V,lie across; block; lying accross; put cross-wise; blocking; place athwart; be blocked; cause difficulties,GIB,,60
qiāpu,V,(en)trust; trust; entrusting; trusting; appoint; believe; believing; confide,TAM.TAM.MA,,60
sikkūru,N,bar; bolt; gag?; lock,SAG.KUL,𒊕𒆰,60
sittūtu,N,those remaining,,,60
udīni,AV,up till now; yet,,,60
ummi šarri,N,queen mother,AMA-LUGAL AMA-MAN,,60
ēribu,N,enterer; (palace-)enterer; entering; (in)coming,,,60
šukênu,V,prostrate oneself; prostrating oneself; prostrate onself; prostrate; prostrating,KI.ZA.ZA,𒆠𒍝𒍝,60
šūmū,N,garlic; garlic bulb,SUM,𒋧,60
ṣēlu,N,rib; side; wing (of a house); ribcage,TI,𒋾,60
arītu,N,"pregnant one; pregnant woman; shield; (a knife, dagger); shield bearer; pregnant (woman); shield-bearer",,,59
erēbu,N,"raven; rook; crow; crow fish; crow, raven",,,59
guṭṭu,N,the sign GUD,,,59
karû,N,(a wooden stand or platform); grain-heap; grain-store; grain heap; hold on boat; heap,,,59
kurkanû,N,(a medicinal plant),,,59
nabāsu,N,red wool; red(-dyed) wool,,,59
nubattu,N,evening (rest); eve of a festival; evening meal; overnight stay; vigil; evening; vigil ceremonies; night,,,59
nādinu,N,giver; seller,,,59
sarru,N,false one; criminal; liar; grain heap; stack; thief,ZAR-ME,,59
sissiktu,N,hem; garment-fringe,,,59
teknû,N,loving care; care; comfort; praise,,,59
uggatu,N,rage; fury; anger,,,59
ullânu,AV,there and then; other than; from the start; immediately; there; before; without; suddenly,,,59
urādu,V,go down; bring down; come down; bringing down; going down,,,59
wālittu,N,one who gives birth; mother,,,59
šalšu,NU,third; one-third; the day after tomorrow,,,59
šillatu,N,booty; impudence; iniquity; blasphemy,,,59
šiāti,IP,her; that; this same,BI,𒁉,59
ṣarpu,AJ,burnt; reddened; fired bowl; fired; refined silver; baked; dyed,,,59
ṭawû,V,spin; plait; spinning,NU.NU,𒉡𒉡,59
ṭēhu,N,immediate vicinity; side-wall? of ship; proximity; in the vicinity,SUHUR,𒋦,59
atwû,N,speech; word,,,58
daprānu,N,juniper; (a tree-like variety of) juniper,,,58
ilku,N,(state) service; state service,,,58
karû,V,be(come) short; diminish; be(come) constantly short; constantly become diminished; shorten; shortage,,,58
kiškattû,N,(industrial) kiln; forge; craftsman,,,58
KUR₂,N,KUR₂,,,58
mulmullu,N,arrow,,,58
riāšu,V,rejoice; rejoicing,,,58
šahātu,V,"be(come) afraid; fear; wash; washing down; wash (off); wash oneself down; wash (off, away); washing off",,,58
šalāš,NU,three,,,58
šanû,NU,second; next; deputy; secondly; deputy (governor),,,58
šulû,N,street,,,58
šuātunu,IP,those,,,58
ūsu,N,straight path; goose; usage; duck; goose-head; good practice,,,58
ḫīlu,N,exudation; resin,ILLU,,58
ṣalāʾu,V,throw (down); cast off; cause to lay down; lay down,,,58
ṣipru,N,point; trim; pointed ornament; (a metal ornament); crest,,,58
anūtu,N,position of Anu; divinity; position of An; highest rank; tools; utensil,,,57
egerrû,N,utterance; ominous utterance; reputation; slander,INIM.GAR INIM.GAR-MU INIM.GAR.RA,,57
karṣu,N,slander,EME.SIG,,57
kaṣû,AJ,cold; cool,SED EN.TE.NA,𒂗𒋼𒈾,57
kaṣāṣu,V,grind; grind one's teeth; cut off; grinding; cause a gnawing pain; cutting down; chew; chewing,,,57
kettu,N,truth; truly; true,,,57
kunnu,AJ,fixed; firm; established; correct; installed; firmly established; settled; doing permanently,GI.NA,𒄀𒈾,57
kusāpu,N,crumb; bread,NINDA-ME NINDA-HI.A NINDA,,57
kuštāru,N,tent,,,57
litbušu,AJ,clothed; clothing; decorated,,,57
mišlu,NU,half; middle,BA.AN BAR,𒁀𒀭,57
namaddu,N,measuring vessel; measurement; darling,,,57
nārtu,N,ditch; canal; river; female musician; female singer,,,57
palkû,AJ,wide; broad,,,57
paṭīru,N,portable altar; offering table; (a table),,,57
turminabandû,N,(a type of mottled stone); breccia; (a dark stone) breccia; (a breccia or marble),,,57
zaqru,AJ,high; tall,,,57
abiktu,N,defeat,,,56
aragubbû,N,the sign DU,,,56
asû,N,physician; (a wooden part of the loom); decorative strap on a door; warp beam,A.ZU,𒀀𒍪,56
būšānu,N,"bad smell; (a disease of the mouth, nose and skin); (a plant); (a medicinal plant); disease; (a disease)",BI.LU,𒁉𒇻,56
edû,N,flood; wave,,,56
ezēzu,V,be(come) angry; rage; be(com)ing angry; raging; being angry,,,56
gaṣṣu,N,gypsum,IM.BABBAR,,56
geštarû,N,the sign PA,,,56
kiššu,N,(meaning unknown); (reed-)bundle,,,56
mašrû,N,riches; wealth; prosperity,,,56
mimmû,XP,all; all that; whatever,,,56
mithāriš,AV,in the same manner; simultaneously; altogether,,,56
mušītu,N,night(-time); night; night-time; at night,,,56
namburbû,N,apotropaic ritual,,,56
râbu,V,quake; tremble; making quake; shake; quaking; replace; requite; make shake,SU,𒋢,56
tīru,N,(a courtier); courtier; (a covering); overlay,TIRUM,,56
īku,N,dyke; plot,E,𒂊,56
šakirû,N,henbane?,,,56
šunullu,AJ,buried; laid out,,,56
šurīnu,N,(divine) emblem; (a phenomenon of the eclipsed moon),,,56
šāqû,N,steward; cup-bearer; giver to drink; (a piece of brewer's equipment); cupbearer; (a drinking utensil?); butler,BI.LUL,𒁉𒈜,56
ūmussu,AV,daily,,,56
ahrâtaš,AV,for ever after,,,55
būṣu,N,hyaena; rock partridge; hyena; (a type of glass); fine linen; byssus,,,55
gamālu,V,do a favour; save; spare; doing a favour; saving; rescue; doing a favor; sparing,,,55
gattu,N,form; physique,,,55
harû,N,(a large container); (an offering ceremony); palm shoot; (a sanctuary); vat,,,55
haṣbu,N,pottery; (small pot); shell; potsherd; terracotta; pettery; (formed) clay,,,55
lišān-kalbi,N,hound's-tongue; dog's tongue,,,55
mūdû,AJ,knowing; expert; wise; one who knows,,,55
nišītu,N,lifting; chosen one,,,55
pagû,N,ape; monkey,UGU.DUL.BI,,55
pelû,N,egg,NUNUZ,𒉭,55
qilûtu,N,burning; burnt material; firewood,,,55
raggu,N,villain; wicked one; wicked person,,,55
rubûtu,N,rulership,,,55
tiālu,N,white cedar; (a tree); (a tree and its wood),,,55
zīqīqu,N,wind; breath; (ghostly) gust; ghost; phantom,,,55
ēpištu,N,sorceress; work team; she who acts (of goddess),,,55
šahītu,N,sow,,,55
šipṭu,N,judgement; threat; responsibility; strict order; verdict; judgment; thread; punishment,GIL,,55
šâšunu,IP,(to/of) them; them; to them; to those,,,55
šūpû,AJ,made apparent; resplendent; made resplendent; splendid,,,55
ṭābiš,AV,well; graciously,,,55
ahāʾiš,AV,each other; one another,,,54
anzû,N,lion-headed eagle,,,54
būdu,N,shoulder; (an implement); (a festival)?,,,54
dandannu,N,all-powerful one,KALA.GA,,54
hittu,N,"(utterance, phps.) riddle; lintel",,,54
karašu,N,leek,,,54
maṭû,V,be(come) little; be(com)ing little; reduce; decrease; diminish; subtract; suffer reduction; weaken,,,54
minûtu,N,count(ing); count; incantation; number; recitation; calculated time; contingent,,,54
muterru,N,(re)turner; (a bolt); (wooden part of a fowler's net); glass rake,,,54
mutu,N,husband,DAM DAM-BI DAM.NITA,𒁮,54
mušimmu,N,one who decrees; one who determines,,,54
napultu,N,throat; life; person,ZI,𒍣,54
nēmedu,N,"that on which one leans; (back)rest; base; base, socle for cultic symbol; (back)rest of furniture; support; chair with back; socle",,,54
tahtû,N,defeat,,,54
zaqātu,V,sting; cause a stinging pain to; stinging,,,54
āšipu,N,exorcist; sorcerer,,,54
šapal,N,underside; under,KI.TA,𒆠𒋫,54
šawiru,N,ring; bracelet,HAR,,54
ṣāriru,N,flashing red; (a gold alloy),,,54
bulṭu,N,life; cure; prescription; treatment; health; remedy,,,53
bunnannû,N,physiognomy; (facial) features; (pleasant) features; image,,,53
burrumu,AJ,multicolored; shining; multicoloured; multicoloured one,,,53
burūmû,N,heaven,,,53
ellāmu-,PRP,before,,,53
eššu,N,new one; the sign AB; shrine,,,53
hassu,AJ,clever; remembering; understanding; wise; conceived; mindful; remembered; circumspect,,,53
hazannu,N,mayor; (an alliaceous vegetable),,,53
idi,PRP,next to,DA,𒁕,53
mersu,N,(a cake); sweet cake; (a cake) ingredients; (a confection),,,53
mušaknišu,N,one who makes someone bow down; one who make someone bow down; one who makes someone submit,,,53
mâdu,V,be(come) many; be(com)ing numerous; be(come) numerous; being many; be plentiful; make numerous; making numerous,,,53
mērênu,N,"nakedness; in naked, wasted state",,,53
tartānu,N,deputy; second in command; (a high military official),,,53
tašlīšu,N,third man on chariot; third man (of a chariot crew),,,53
uzzu,N,anger; wrath; rage,,,53
waṣābu,V,add; adding; increase,,,53
ziqnu,N,beard,,,53
šalṭiš,AV,imperiously; triumphantly,,,53
ardadillu,N,(a plant); plant,,,52
attī,IP,you; you (f.),,,52
epuštu,N,ritual (instructions); ritual; deed,,,52
imtu,N,poison; (poisonous) spittle; venom,,,52
kurû,AJ,short,LAGAB,𒆸,52
littu,N,cow; stool; descendant; old age,,,52
marāru,V,be(come) bitter; being bitter; be(com)ing bitter; make prevail; study,,,52
nesû,AJ,far; distant,,,52
nēpešu,N,activity; ritual; procedure; tool; (method of) construction; (siege) machine; construction,,,52
sû,N,the sign SI; (a hard stone); (a kind of reed mat),,,52
takiltu,N,(a precious blue-purple wool); purple (wool); blue-purple wool,,,52
wuʾʾurtu,N,commission; command,,,52
zamāru,N,song; hymn; praise,,,52
zīru,N,hate; hate-magic,HUL.GIG HUL.GIG.GA HUL.KI.IK,,52
šassūru,N,womb; (an insect); insect,,,52
abukkatu,N,(a kind of rush?); (a plant); sap of a.; (a kind of rush),LI.DUR LI.TAR,𒇷𒋻,51
adāru,N,(a tree); poplar; poplar? tree,,,51
ahāmiš,AV,one another; each other; together,,,51
akanna,AV,here; hither; now; there; where,,,51
appatu,N,tip; bridle; rein,,,51
ašūhu,N,pine-tree,,,51
ginâ,AV,constantly; regularly; always; as usual,,,51
ikku,N,temper; mood,,,51
kanāku,V,seal; sealing,,,51
lābu,N,lion,,,51
malmališ,AV,correspondingly; as one; in equal amounts; in equal quantity; equally,,,51
murappišu,N,one who expands; one who makes wide,,,51
nakkamtu,N,treasure; storehouse; treasury; reserve,NA.KAM.TUM,,51
nasāqu,V,choose; choosing,,,51
rēštû,NU,first; first-born; first-class; foremost; prime quality; prime,SAG,𒊕,51
sangû,N,(a metal object); sangû; priest,,,51
unīqu,N,female kid,,,51
watru,AJ,huge; additional; excess; extra; intercalary; larger; outstanding; surpassing,DIRI DIRI.GA,,51
zittu,N,share; portion,HA.LA,𒄩𒆷,51
šagāšu,V,kill; killing; murder; extinguish; slaughter; be(come) annihilated; be(come) massacred,,,51
šuāšim,IP,to him; that; for him; him; it; of that,,,51
šêtu,V,be remaining; leave (to stand); be(come) remaining; escape; leave; be/leave remaining; being remaining; be negligent,,,51
ṭarādu,V,name; be called; send off; dispel; drive away; driving out; be(come) driven away; dispatch,SAR,𒊬,51
agammu,N,marsh(es),,,50
ahulap,J,(it is) enough!; mercy!; (an exclamation used to express or to seek compassion),,,50
aklu,N,overseer; bread; food,NINDA-HI.A NINDA.HI.A NINDA,,50
akê,QP,how?; how!; how; so,,,50
ašāru,V,muster; instruct; sink down; be(come) brought out; release; mustering; organize; review,,,50
berqu,N,lightning (flash); lightning; figurine,,,50
bēl dabābi,N,adversary; enemy; male adversary,,,50
erpetu,N,cloud,DUNGU DUNGU-ME IM.DIRI,,50
esēpu,V,gather together; collect up; skim off; collecting; gathering together; collect,,,50
eṣemṣēru,N,backbone; back; spine; keel of boat,,,50
karāṣu,V,break off; breaking off; slander; breaking up,,,50
katmu,AJ,covered; closed; hidden; concealed,,,50
marṣiš,AV,bitterly; laboriously,,,50
mašqītu,N,watering place; (medicinal) potion; drink,,,50
nuhatimmu,N,cook,MUHALDIM,,50
pāšu,N,axe; hatchet,,,50
taku,N,the sign TAK₄,,,50
tittu,N,fig (tree); fig; fig tree,,,50
warka,AV,afterwards; at the rear; backwards,EGIR,𒂕,50
ādiru,N,one who is full of awe; full of awe; full of fear,,,50
šallu,AJ,plundered; captive,,,50
šalû,V,submerge; plunge; fling; spray; flinging; submerging; cast away; throw,,,50
šapû,V,wrap up; be(come) dense; be(come) repeatedly dense; continually be(come) loud; be(come) silent; silence; fasten; be(com)ing dense,GAG.GAG,,50
šikinnu,N,(a net); (container for oils etc.); (a container for oils etc.); flask; (container for oils); (meaning uncertain),,,50
šisītu,N,cry; call; clamour; joint; proclamation,,,50
šubû,N,(a semiprecious stone),,,50
ṣaddu,N,(wooden) signal; sign; portent,,,50
bibbulu,N,day of moon's disappearance; (day of the) New Moon; flood; day of the disappearance of the moon; (day of the) new moon,,,49
daddû,N,the sign DA,,,49
erēpu,V,cloud over; grow dark; be(come) constantly gloomy; clouding over; growing dark; darkening,,,49
hibiltu,N,wrongdoing; damage(s); damaged parts; debt; damage,,,49
inanna,AV,now,,,49
kamūnu,N,(a fungus); cumin; fungus; 'grain',UZU.DIR,,49
kinūnu,N,brazier; oven,GUNNI KI.NE,𒆠𒉈,49
mūšaru,N,"garden(-plot); unit; (flower, vegetable) bed; garden; surface measure; garden plot; (surface measure); garden-(plot)",SAR,𒊬,49
nablu,N,flash of fire; flame; (a vessel?),,,49
nahīru,N,nostril; spout,,,49
nissatu,N,wailing; misery,ZARAH SAG.PA.LAGAB,𒊕𒉺𒆸,49
nâšu,V,rock; be(come) loose; pulse; quake; shake; rocking; shaking; quaking,,,49
nīš libbi,N,desire; potency,,,49
salāhu,V,sprinkle; sprinkling; lustrate; sprinkle (with); sprinkling (with),SUD,𒋤,49
summatu,N,(female) dove; a fish; dove,,,49
tarṣu,AJ,"stretched out; extended; pointed; spread; correct, proper; straight; appropriate; correct",,,49
urmahhu,N,lion colossus; lion,UR.MAH,𒌨𒈤,49
uršānu,N,warrior; heroic; hero; wild dove; champion,DI.KUD,,49
šugidimmakku,N,hand of the ghost (an illness); 'hand-of-a-ghost',,,49
šāpiru,N,giver of instructions; administrator; governor; boss; ruler; commander; leader,UGULA,,49
ṣillû,N,thorn; spike; pin; needle,,,49
ṣubbû,V,observe (from a distance); gaze; carry out according to plan; observing; perfect; observing from a distance; observe; be recognizable,,,49
ṣumlalû,N,(a spice plant),GAM.MA,𒃵𒈠,49
adru,AJ,afraid; dark; eclipsed; gloomy; scared,,,48
gallû,N,(a demon),,,48
gašru,N,strong one; very strong one,,,48
ikkāru,N,farmer,,,48
inūmīšu,AV,in those days; then,,,48
itqūru,N,spoon; (an ointment); blade; shallow bowl; pan of a balance,,,48
kattillu,N,(a predatory animal),,,48
kidinnu,N,protection; watch,BAR UBARA,𒁇,48
kilallān,AJ,both,,,48
kisimmu,N,sour milk; sour milk?; the sign KISIM₅,GA.HAB,,48
maqittu,N,dilapidation,,,48
mašdahu,N,procession (street); processional road; measure,,,48
mugirru,N,chariot,,,48
nakādu,V,beat; be worried; thrive; be(come) frightened; have palpitations; having palpitations; being anxious; being frightened,,,48
nannāru,N,light of the sky; moon,,,48
nanû,N,the sign NA,,,48
nukuššû,N,(a door fitting),,,48
nēr,NU,600; all,,,48
pišannu,N,box; gutter; basket; door socket; chest,PISAN,,48
qatnu,AJ,thin; narrow; part of body; thin one; junior,SIG,𒋝,48
sellu,N,basket; (a kind of arrow); archivolt,,,48
sukkallu,N,the sign LUH; (a court official); vizier,SUKKAL,,48
ušumgallu,N,great dragon; lion-dragon,,,48
waqû,V,wait (for); attend; waiting; wait; being attentive; respect; wait for; attend to,,,48
watartu,N,excess; grammatical term; a kind of wheel; (a kind of waggon wheel); (a kind of wagon wheel); grammatical feature; addition,DIRI.GA DIRI,,48
šahtu,AJ,revere; reverent,,,48
šemû,AJ,heard; hearing; obedient; propitious; informed,,,48
ṣibûtu,N,wish; desire; what is needed; plan; construction; interest; objective,,,48
bābilu,N,one who carries,,,47
ettūtu,N,spider,,,47
gizillû,N,torch,,,47
kammantu,N,(an edible plant),,,47
kaqdâ,AV,constantly,,,47
mahṣu,AJ,beaten; smashed; woven; struck; clashed; stabbed; broken; cut,,,47
marqītu,N,refuge,,,47
marāqu,V,rub; clear of claims; wipe out; rub something; crushing; rub s.th.; rubbing s.th.; grind,,,47
mehṣu,N,blow; (type of engraved gem?); attack (of demon); type of engraved gem?; wound; (woven) textile; bite; raid,,,47
mušarbû,N,one who makes surpassing,,,47
mītu,N,dead man; dead; dying man; dead person,,,47
nakālu,V,be(come) skilful; making skilfully; make skilfully; devise,,,47
namrāṣu,N,hardship; difficulty,,,47
nizmatu,N,desire,,,47
pišertu,N,release; phlegm?; dispelling ritual; loosening; (an agricultural activity); disposal,,,47
